reportdate,hg.newissue.vwcoup,hg.all.vwcoup,hy.newissue.vwcoup,hy.all.vwcoup
2/1/2010,0.053671854,0.060595661,0.084009073,0.079190046
3/1/2010,0.052202642,0.059645896,0.08277709,0.077883795
4/1/2010,0.054245426,0.060488451,0.080082659,0.079190193
5/1/2010,0.054708512,0.060455936,0.079731922,0.080208595
6/1/2010,0.051370921,0.057918716,0.076222333,0.078544781
7/1/2010,0.050499993,0.058072786,0.076107704,0.077903098
8/1/2010,0.046794736,0.055568079,0.081285183,0.080195468
9/1/2010,0.043775499,0.054422059,0.081014537,0.079920236
10/1/2010,0.043655354,0.054851438,0.0837315,0.080185813
11/1/2010,0.041897448,0.053471937,0.081669739,0.080352058
12/1/2010,0.042392489,0.053005016,0.080007651,0.079414017
1/1/2011,0.043187403,0.053379563,0.080726373,0.080117519
2/1/2011,0.043366909,0.053375636,0.074506828,0.079073517
3/1/2011,0.042827105,0.05226468,0.078790516,0.080342687
4/1/2011,0.044299657,0.053322203,0.075041413,0.080223481
5/1/2011,0.042625921,0.051943762,0.074396323,0.079760446
6/1/2011,0.043502362,0.052536986,0.075460459,0.081187587
7/1/2011,0.042448554,0.051410898,0.075806026,0.08148301
8/1/2011,0.041517267,0.050691172,0.077521947,0.081869915
9/1/2011,0.039428364,0.049446729,0.076502203,0.080982998
10/1/2011,0.039842599,0.050178614,0.077683855,0.081399244
11/1/2011,0.038260738,0.049210938,0.074241944,0.079360211
12/1/2011,0.038951611,0.049552048,0.075749117,0.078769437
1/1/2012,0.040416427,0.049262908,0.075424208,0.079404082
2/1/2012,0.037013984,0.047900634,0.07239831,0.078768534
3/1/2012,0.03650678,0.047097814,0.070216569,0.077638437
4/1/2012,0.038663296,0.048037873,0.071363131,0.077773071
5/1/2012,0.035588879,0.04705222,0.069529315,0.077385992
6/1/2012,0.035274197,0.04650911,0.066128507,0.076652632
7/1/2012,0.034203484,0.046340159,0.067462066,0.077762136
8/1/2012,0.032740085,0.045807108,0.062448604,0.075517923
9/1/2012,0.03151285,0.044012118,0.063771597,0.076178322
10/1/2012,0.030866289,0.04398406,0.064845085,0.076449207
11/1/2012,0.031019614,0.04345674,0.064932366,0.076062542
12/1/2012,0.029093117,0.042457971,0.063111787,0.074861673
1/1/2013,0.029919065,0.042185061,0.06097386,0.074399414
2/1/2013,0.030941219,0.043055418,0.060117929,0.073342264
3/1/2013,0.030209478,0.042437216,0.061738769,0.073667753
4/1/2013,0.030709533,0.043051641,0.06455448,0.074486884
5/1/2013,0.029633498,0.04190457,0.058202472,0.07311605
6/1/2013,0.030305098,0.04206718,0.062227589,0.073469095
7/1/2013,0.031074514,0.042281786,0.060681956,0.072357245
8/1/2013,0.032772269,0.042141207,0.060403879,0.071911509
9/1/2013,0.041004419,0.044175951,0.060059502,0.071461464
10/1/2013,0.038149194,0.043317799,0.061921574,0.071702856
11/1/2013,0.038454643,0.043222746,0.062908819,0.072459074
12/1/2013,0.037643517,0.042820583,0.06076722,0.071358396
1/1/2014,0.037833299,0.042285372,0.062064903,0.072350053
2/1/2014,0.037165051,0.042282685,0.06158569,0.071611691
3/1/2014,0.03819233,0.041400188,0.060310172,0.071498433
4/1/2014,0.036293821,0.042000309,0.0636668,0.071654093
5/1/2014,0.036063236,0.041528119,0.061418197,0.071067336
6/1/2014,0.035791445,0.040414415,0.059912586,0.071468667
7/1/2014,0.036810636,0.040609609,0.061171476,0.069775875
8/1/2014,0.035116995,0.040202015,0.061363781,0.069231546
9/1/2014,0.035900938,0.039662289,0.061170761,0.068333036
10/1/2014,0.035577951,0.03972397,0.061882575,0.068677006
11/1/2014,0.035522144,0.039296864,0.060446804,0.067672033
12/1/2014,0.036290449,0.039237396,0.061478211,0.068884085
1/1/2015,0.035095337,0.039054292,0.059855732,0.06758085
2/1/2015,0.033591884,0.038619113,0.062502802,0.068205076
3/1/2015,0.034109383,0.03815554,0.062157457,0.06734638
4/1/2015,0.034704294,0.038742533,0.062696431,0.067826537
5/1/2015,0.034792215,0.037945485,0.063601818,0.067781504
6/1/2015,0.035729798,0.038449604,0.063616173,0.067176362
